호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
3호선,무악재,23,0,2233,284,5658,1843,17776,3442,20668,6178,11862,3819,8423,3909,7185,4087,6600,4234,6110,5014,5499,5573,5538,6603,5487,8282,6741,9874,7748,16054,3581,14443,2725,9481,2254,9339,1556,9264,712,5969,118,1673,0,0,0,0,0,0
3호선,독립문,125,1,5906,840,7192,5879,19377,16526,24650,23335,17823,18973,14975,15228,16963,12663,17522,12017,16353,14227,16354,13575,17638,14372,18109,15211,17961,16564,19194,20935,9647,18036,7060,11540,6475,10099,4230,10069,1574,6607,204,2722,0,990,0,0,0,0
3호선,경복궁(정부서울청사),100,1,2898,1972,6868,15279,17436,44814,25311,138641,25059,77073,21370,51522,29278,49396,34139,43266,41572,50272,46930,39247,52489,34742,62018,33897,74771,35092,123659,43653,48729,29775,39900,15859,41248,13724,28439,13464,11298,7965,1659,2506,1,87,0,0,0,0
3호선,안국,20,1,2207,2878,3636,24897,7119,108185,11084,129893,11877,80832,15417,57448,24766,58722,33655,49071,38561,47662,45390,44362,54317,36122,68054,33130,111172,31139,135650,31890,57756,17228,47276,8949,42117,6903,26025,7081,8486,4096,1000,1329,1,7,1,2,0,0
3호선,종로3가,13,1,920,962,1625,6383,1983,16897,3294,58345,5232,58627,8634,39604,12416,31882,13452,31432,16614,29977,17896,29170,25647,27352,26185,23094,34354,23676,60346,25099,43569,15429,22908,7111,24194,5469,17996,4326,7864,3109,1073,1133,2,15,0,0,0,0
3호선,을지로3가,10,0,717,1046,1450,9597,2470,35818,4912,87556,7998,43482,10233,20964,12823,17708,12091,16590,14965,16498,16890,15333,18806,14993,20525,15744,37497,18741,75906,23516,35631,15033,23805,6927,23196,5005,19116,3906,11184,2507,1791,665,1,1,0,0,0,0
3호선,충무로,0,0,0,0,0,0,2,0,1,0,2,0,2,0,1,0,2,0,2,0,4,0,11,0,8,0,4,0,9,0,3,0,3,0,7,0,4,0,0,0,3,0,0,0,0,0,0,0
3호선,동대입구,19,2,1746,1290,2873,8219,6477,22458,9973,70807,8785,35910,8110,25583,11470,24471,14009,18503,16622,19981,16109,16666,17434,15875,21094,14720,38986,16101,50983,17933,25787,13573,26415,7116,18162,6547,16915,5709,6246,4360,609,1599,1,106,0,0,0,0
3호선,약수,94,1,7452,1139,12476,6460,30999,17449,47282,40754,31902,27929,22577,19126,21801,17743,24002,18175,24667,19837,23004,19635,23199,21678,24540,24583,29890,31359,40556,47514,23961,35194,18299,22770,18151,21770,14454,20322,6714,13041,1068,5077,3,763,0,0,0,0
3호선,금호,81,13,5579,666,11396,3026,31740,5008,44824,9545,27776,7907,17597,7451,14547,7504,13943,9487,13606,10909,11581,11413,11655,13706,12050,16465,13252,21674,13478,33615,9116,26617,6882,18654,5658,16812,4396,16555,2129,9743,410,3006,0,0,0,0,0,0
3호선,옥수,212,13,3723,1128,11005,5118,28023,8439,40685,18132,25135,13303,17960,10586,16936,11893,16919,12982,17146,14421,15686,15416,15254,17746,16692,20242,19002,25073,20712,38850,13711,31527,10470,20979,9636,19993,7251,20391,3246,10719,587,3110,0,1,0,0,0,0
3호선,압구정,49,5,3603,2475,9560,24467,18956,56801,32867,183548,23384,175870,28036,82366,35995,74477,43304,58061,52405,68697,57889,60373,68779,55294,78436,53560,99223,61903,165583,74712,116227,47346,88611,22164,67690,17349,54515,15311,18319,8720,2697,3250,3,347,0,0,0,0
3호선,신사,93,4,4766,1633,7677,21257,13856,48777,23315,135984,20559,154439,21155,83314,28108,62704,36608,64761,44000,69022,50992,64383,60197,61965,72055,60950,95530,67129,164262,94566,119891,61729,80518,27210,87498,19382,78775,15689,33851,10415,4603,4136,0,7,0,0,0,0
3호선,잠원,3,0,1703,756,7087,5471,20041,8674,28839,12104,16795,8994,11245,6783,10943,6597,11498,8168,11321,9412,9404,9243,10402,9859,11072,11299,13615,14017,14416,21528,8689,16778,5553,11193,5152,11535,3897,13404,1530,6837,217,2051,0,1,1,0,0,0
3호선,고속터미널,153,0,7068,4513,8403,38630,30691,58625,55988,95423,65747,112869,69907,108825,83586,129892,102381,122552,114850,124224,123973,128987,141687,132463,156873,132803,181110,139836,173612,161213,154084,108773,166214,64190,120519,47873,82156,36124,31069,18961,3397,3491,3,21,0,0,0,0
3호선,교대(법원.검찰청),8,0,1459,713,3757,7086,9547,27469,14380,59539,11794,40116,13168,19140,17030,14238,19428,13923,24116,14006,27296,12992,28601,11821,30992,11794,44804,15500,79064,22337,34547,13327,27820,6515,31705,5320,39049,4716,10697,3019,1667,1174,1,0,0,0,0,0
3호선,남부터미널(예술의전당),31,1,3113,1287,9589,29096,32832,65266,53376,205949,46070,97217,45094,57991,49988,46755,51169,50015,53876,56759,52789,58839,58658,57423,68053,61841,103929,65880,182143,79142,82114,57807,59375,32659,53117,27204,42966,22127,14898,12950,1876,3593,2,1,0,0,0,0
3호선,양재(서초구청),88,3,7098,3145,15985,43880,40314,114921,53623,294536,39286,149269,36501,67936,40836,58970,45413,51818,54018,58853,56634,51627,65325,50246,77633,51355,126096,67140,235774,90245,114284,64486,76048,38335,75749,33528,56339,30602,20898,17671,2369,5701,1,42,0,0,0,0
3호선,매봉,21,0,1671,586,7080,11833,17077,22229,22306,82107,15213,36915,12846,15629,13359,15037,13726,13337,15360,13312,17282,12670,18916,13027,22307,13278,33425,17615,71606,23587,26967,17906,17624,10318,18118,9331,12123,9818,4256,5973,570,1813,1,73,0,0,0,0
3호선,도곡,33,0,1158,361,3918,4029,10851,13246,14141,26043,9033,21090,6932,8838,7266,8834,7683,8528,8899,8401,8870,7503,10364,7270,12658,7729,17518,9259,22604,11565,11876,10793,7457,6483,7332,5822,5194,6463,1733,3509,209,2099,0,382,0,0,0,0
3호선,대치,34,0,3123,862,13597,8486,30974,23484,30748,33340,18344,24992,14549,17209,15419,15553,18904,20983,20742,24972,17963,20272,21007,20898,23384,25194,33525,31475,33563,31582,24833,27831,16459,15533,22779,15596,38654,16085,4829,8988,619,3119,0,1,0,0,0,0
3호선,학여울,2,0,570,321,1759,2354,4457,4971,5292,11203,3437,10517,2940,7248,3894,4794,5607,5243,7386,5220,7131,3867,7449,3487,7850,3225,7860,3525,7912,4406,3554,4174,2365,2575,1977,2424,1688,2438,441,1555,71,594,0,0,0,0,0,0
3호선,대청,17,2,4116,1460,11399,7025,32052,16863,38992,29498,21424,14109,17151,9898,16965,9987,15810,10990,16946,12108,15108,12395,17088,15145,22102,15836,24585,19282,31955,27352,14229,27219,10889,17560,9186,16216,6908,18366,2459,10307,344,3847,1,2,0,0,0,0
3호선,일원,19,0,2280,1688,9020,10012,25600,30972,26020,29047,18574,22098,18770,20618,20454,15874,21696,17716,18297,19741,18958,17283,22439,15456,27003,14168,33164,16910,19227,22495,11249,20902,9055,12454,6015,12012,4037,13076,1557,6444,223,2194,0,20,0,0,0,0
3호선,수서,198,1,5625,2234,14058,16153,43618,33579,52226,59721,34766,34711,33319,23801,28146,19986,32077,25553,31587,24395,24562,23335,33155,29503,37570,32384,43106,38988,59513,53762,28091,45327,25611,30838,17908,24815,17155,27110,8271,11635,814,5242,0,390,0,1,0,0
