Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
기간,자치구,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,인구밀도,인구밀도,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,인구밀도,인구밀도,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,인구밀도(명/㎢),면적(㎢),세대당인구,65세이상고령자
2013,중랑구,174938,421237,210390,210847,416798,208641,208157,4439,1749,2690,22773,18.5,2.38,48998
2013,성북구,196693,485347,238228,247119,476589,234573,242016,8758,3655,5103,19747,24.58,2.42,60499
2013,강북구,141246,341921,168546,173375,338707,167342,171365,3214,1204,2010,14490,23.6,2.4,48547
2013,도봉구,137714,360609,177925,182684,358582,177153,181429,2027,772,1255,17418,20.7,2.6,44469
2013,노원구,222132,594027,289967,304060,590479,288435,302044,3548,1532,2016,16763,35.44,2.66,63810
2013,은평구,202487,508111,248722,259389,503660,246858,256802,4451,1864,2587,17107,29.7,2.49,64328
2013,서대문구,135272,324067,157314,166753,314110,153315,160795,9957,3999,5958,18405,17.61,2.32,43850
2013,마포구,166780,391098,188874,202224,381856,184774,197082,9242,4100,5142,16407,23.84,2.29,45758
2013,양천구,180443,496934,246723,250211,492528,244742,247786,4406,1981,2425,28554,17.4,2.73,46026
2013,강서구,226607,575236,282287,292949,569070,279207,289863,6166,3080,3086,13885,41.43,2.51,59530
2013,구로구,171419,452168,227694,224474,424964,213251,211713,27204,14443,12761,22475,20.12,2.48,48027
2013,금천구,104179,258254,132742,125512,241020,123462,117558,17234,9280,7954,19840,13.02,2.31,28310
2013,영등포구,167761,421577,212417,209160,386471,193880,192591,35106,18537,16569,17187,24.53,2.3,48065
2013,동작구,172700,421487,207223,214264,410815,202144,208671,10672,5079,5593,25773,16.35,2.38,50062
2013,관악구,248006,535128,270512,264616,518028,262248,255780,17100,8264,8836,18097,29.57,2.09,59705
2013,서초구,170594,446541,215771,230770,441763,213285,228478,4778,2486,2292,9501,47,2.59,44674
2013,강남구,230645,569152,273583,295569,563599,270601,292998,5553,2982,2571,14409,39.5,2.44,53461
2013,송파구,257441,674955,330030,344925,668415,326919,341496,6540,3111,3429,19925,33.87,2.6,61745
2013,강동구,186764,487969,243530,244439,483379,241503,241876,4590,2027,2563,19846,24.59,2.59,47812
2014,합계,4194176,10369593,5109013,5260580,10103233,4979768,5123465,266360,129245,137115,17134,605.2,2.41,1221616
2014,종로구,73101,165344,81439,83905,156993,77621,79372,8351,3818,4533,6915,23.91,2.15,24537
2014,중구,59960,136227,67952,68275,128065,64033,64032,8162,3919,4243,13677,9.96,2.14,19960
2014,용산구,108429,249914,122047,127867,235951,114578,121373,13963,7469,6494,11427,21.87,2.18,34896
2014,성동구,125814,303891,151149,152742,296086,147363,148723,7805,3786,4019,18035,16.85,2.35,36684
2014,광진구,158524,377375,185011,192364,363354,178738,184616,14021,6273,7748,22120,17.06,2.29,38974
2014,동대문구,159880,376319,187638,188681,363687,182510,181177,12632,5128,7504,26483,14.21,2.27,50915
2014,중랑구,176714,423411,211178,212233,418836,209323,209513,4575,1855,2720,22887,18.5,2.37,51995
2014,성북구,193359,475961,233009,242952,466706,229205,237501,9255,3804,5451,19364,24.58,2.41,62066
2014,강북구,141246,338410,166553,171857,335025,165223,169802,3385,1330,2055,14339,23.6,2.37,50841
2014,도봉구,136977,355712,175306,180406,353709,174554,179155,2003,752,1251,17184,20.7,2.58,46471
2014,노원구,221107,586056,285697,300359,582552,284225,298327,3504,1472,2032,16537,35.44,2.63,66480
2014,은평구,202187,503243,245946,257297,498644,243977,254667,4599,1969,2630,16944,29.7,2.47,67002
2014,서대문구,134780,320861,155477,165384,310376,151338,159038,10485,4139,6346,18220,17.61,2.3,45309
2014,마포구,169492,395830,190717,205113,385439,186177,199262,10391,4540,5851,16604,23.84,2.27,47360
2014,양천구,179069,490708,243091,247617,486221,241020,245201,4487,2071,2416,28202,17.4,2.72,48175
2014,강서구,234378,591653,289841,301812,585160,286644,298516,6493,3197,3296,14281,41.43,2.5,64287
2014,구로구,172594,457131,230091,227040,425831,213213,212618,31300,16878,14422,22720,20.12,2.47,51187
2014,금천구,103940,258030,132476,125554,238463,121878,116585,19567,10598,8969,19818,13.02,2.29,29553
2014,영등포구,168100,421436,212261,209175,382352,191464,190888,39084,20797,18287,17180,24.53,2.27,49829
2014,동작구,172389,419261,205962,213299,407470,200328,207142,11791,5634,6157,25643,16.35,2.36,52327
2014,관악구,248180,531960,268683,263277,513186,259631,253555,18774,9052,9722,17990,29.57,2.07,62577
2014,서초구,173469,454288,219109,235179,449678,216740,232938,4610,2369,2241,9666,47,2.59,47469
2014,강남구,237375,583446,280082,303364,578114,277267,300847,5332,2815,2517,14771,39.5,2.44,57444
2014,송파구,257207,671794,328308,343486,664738,324902,339836,7056,3406,3650,19834,33.87,2.58,65025
2014,강동구,185905,481332,239990,241342,476597,237816,238781,4735,2174,2561,19574,24.59,2.56,50253
2015,합계,4189948,10297138,5063550,5233588,10022181,4930943,5091238,274957,132607,142350,-,-,2.39,1267563
2015,종로구,72645,163822,80531,83291,154986,76548,78438,8836,3983,4853,-,-,2.13,24892
2015,중구,59321,134329,66755,67574,125733,62687,63046,8596,4068,4528,-,-,2.12,20302
2015,용산구,107512,247909,121027,126882,233342,113177,120165,14567,7850,6717,-,-,2.17,35715
2015,성동구,126714,305065,151459,153606,297003,147570,149433,8062,3889,4173,-,-,2.34,38164
2015,광진구,158353,375180,183436,191744,360369,176884,183485,14811,6552,8259,-,-,2.28,40368
2015,동대문구,159941,373824,185827,187997,360153,180485,179668,13671,5342,8329,-,-,2.25,52490
2015,중랑구,176390,418620,208393,210227,413909,206505,207404,4711,1888,2823,-,-,2.35,54095
2015,성북구,190973,469560,229183,240377,459275,224980,234295,10285,4203,6082,-,-,2.4,63281
2015,강북구,141088,334426,164337,170089,330873,162967,167906,3553,1370,2183,-,-,2.35,52598
2015,도봉구,136903,353241,173804,179437,351242,173029,178213,1999,775,1224,-,-,2.57,48590
2015,노원구,219768,578221,281538,296683,574583,279987,294596,3638,1551,2087,-,-,2.61,68909
2015,은평구,203410,502578,244964,257614,497920,242975,254945,4658,1989,2669,-,-,2.45,69753
2015,서대문구,135770,323105,156130,166975,312141,152008,160133,10964,4122,6842,-,-,2.3,46758
2015,마포구,171480,398351,190957,207394,387643,186495,201148,10708,4462,6246,-,-,2.26,48598
2015,양천구,179512,489010,242074,246936,484532,239995,244537,4478,2079,2399,-,-,2.7,50398
2015,강서구,238952,595691,291216,304475,589074,287947,301127,6617,3269,3348,-,-,2.47,67950
2015,구로구,172321,454604,228201,226403,422092,210440,211652,32512,17761,14751,-,-,2.45,53719
2015,금천구,103847,256167,131346,124821,236284,120604,115680,19883,10742,9141,-,-,2.28,31070
2015,영등포구,167863,417811,210388,207423,378504,189394,189110,39307,20994,18313,-,-,2.25,51481
2015,동작구,170495,412774,202165,210609,400641,196463,204178,12133,5702,6431,-,-,2.35,53610
2015,관악구,249191,529031,266773,262258,509663,257491,252172,19368,9282,10086,-,-,2.05,64985
2015,서초구,173007,451258,217036,234222,446764,214737,232027,4494,2299,2195,-,-,2.58,49280
2015,강남구,237373,581760,279209,302551,576495,276425,300070,5265,2784,2481,-,-,2.43,60330
2015,송파구,256611,667480,325950,341530,660302,322441,337861,7178,3509,3669,-,-,2.57,68292
2015,강동구,180508,463321,230851,232470,458658,228709,229949,4663,2142,2521,-,-,2.54,51935
2016,합계,4189839,10204057,5007379,5196678,9930616,4876789,5053827,273441,130590,142851,-,-,2.37,1300877
2016,종로구,72118,161922,79322,82600,152737,75201,77536,9185,4121,5064,-,-,2.12,25091
2016,중구,59651,134409,66452,67957,125249,62204,63045,9160,4248,4912,-,-,2.1,20606
2016,용산구,106607,245102,119636,125466,230241,111601,118640,14861,8035,6826,-,-,2.16,35915
2016,성동구,128727,307161,152006,155155,299259,148326,150933,7902,3680,4222,-,-,2.32,39262
2016,광진구,158390,372104,181251,190853,357215,174797,182418,14889,6454,8435,-,-,2.26,41441
2016,동대문구,159426,370312,183444,186868,355069,177640,177429,15243,5804,9439,-,-,2.23,53460
2016,중랑구,177400,415677,206772,208905,411005,204900,206105,4672,1872,2800,-,-,2.32,55914
2016,성북구,188304,461617,224504,237113,450355,219951,230404,11262,4553,6709,-,-,2.39,64015
2016,강북구,141229,330704,162211,168493,327195,160861,166334,3509,1350,2159,-,-,2.32,54053
2016,도봉구,136898,350272,172006,178266,348220,171238,176982,2052,768,1284,-,-,2.54,50510
2016,노원구,219736,571212,277866,293346,567581,276333,291248,3631,1533,2098,-,-,2.58,70887
2016,은평구,201891,495937,241048,254889,491476,239183,252293,4461,1865,2596,-,-,2.43,71457
2016,서대문구,136766,325871,156597,169274,314194,152510,161684,11677,4087,7590,-,-,2.3,47653
2016,마포구,169432,390887,186668,204219,379892,182162,197730,10995,4506,6489,-,-,2.24,48303
2016,양천구,177434,481845,238163,243682,477739,236290,241449,4106,1873,2233,-,-,2.69,52063
2016,강서구,245045,602104,293734,308370,595485,290478,305007,6619,3256,3363,-,-,2.43,71062
2016,구로구,172220,449600,225411,224189,417551,207667,209884,32049,17744,14305,-,-,2.42,55705
2016,금천구,104483,254654,130429,124225,235386,119885,115501,19268,10544,8724,-,-,2.25,32279
2016,영등포구,165729,406779,204712,202067,370613,185200,185413,36166,19512,16654,-,-,2.24,51844
2016,동작구,172506,413247,201842,211405,400997,196267,204730,12250,5575,6675,-,-,2.32,55231
2016,관악구,251955,525607,265034,260573,506851,256143,250708,18756,8891,9865,-,-,2.01,66952
2016,서초구,173970,451477,216886,234591,447192,214673,232519,4285,2213,2072,-,-,2.57,50984
2016,강남구,234080,572140,274217,297923,567115,271604,295511,5025,2613,2412,-,-,2.42,61931
2016,송파구,258382,664946,324087,340859,657831,320557,337274,7115,3530,3585,-,-,2.55,71064
2016,강동구,177460,448471,223081,225390,444168,221118,223050,4303,1963,2340,-,-,2.5,53195
2017,합계,4220082,10124579,4957857,5166722,9857426,4830206,5027220,267153,127651,139502,-,-,2.34,1365126
2017,종로구,73594,164257,80094,84163,154770,75967,78803,9487,4127,5360,-,-,2.1,26182
2017,중구,60412,134593,66337,68256,125709,62253,63456,8884,4084,4800,-,-,2.08,21384
2017,용산구,107666,244444,119423,125021,229161,110878,118283,15283,8545,6738,-,-,2.13,36882
2017,성동구,132902,312711,154077,158634,304808,150368,154440,7903,3709,4194,-,-,2.29,41273
2017,광진구,160798,372298,180645,191653,357703,174414,183289,14595,6231,8364,-,-,2.22,43953
2017,동대문구,159938,366011,181185,184826,350647,175324,175323,15364,5861,9503,-,-,2.19,55718
2017,중랑구,179132,412780,205125,207655,408226,203325,204901,4554,1800,2754,-,-,2.28,59262
2017,성북구,187112,455407,221103,234304,444055,216556,227499,11352,4547,6805,-,-,2.37,66251
2017,강북구,142533,328002,160252,167750,324479,158918,165561,3523,1334,2189,-,-,2.28,56530
2017,도봉구,137378,346234,169553,176681,344166,168759,175407,2068,794,1274,-,-,2.51,53488
2017,노원구,217619,558075,271025,287050,554403,269508,284895,3672,1517,2155,-,-,2.55,74243
2017,은평구,202839,491202,238223,252979,486794,236353,250441,4408,1870,2538,-,-,2.4,74559
2017,서대문구,137266,325028,155250,169778,312800,151144,161656,12228,4106,8122,-,-,2.28,49266
2017,마포구,169408,385783,183248,202535,374915,178939,195976,10868,4309,6559,-,-,2.21,49615
2017,양천구,176649,475018,234279,240739,471154,232518,238636,3864,1761,2103,-,-,2.67,55234
2017,강서구,254257,608255,296175,312080,601691,292989,308702,6564,3186,3378,-,-,2.37,76032
2017,구로구,171570,441559,221386,220173,410742,204003,206739,30817,17383,13434,-,-,2.39,58794
2017,금천구,106066,253491,129775,123716,235154,119497,115657,18337,10278,8059,-,-,2.22,34170
2017,영등포구,167355,402024,202400,199624,368550,183975,184575,33474,18425,15049,-,-,2.2,53981
2017,동작구,172995,408493,198827,209666,396217,193255,202962,12276,5572,6704,-,-,2.29,57255
2017,관악구,255352,520929,262006,258923,503297,253661,249636,17632,8345,9287,-,-,1.97,70046
2017,서초구,173594,445401,213422,231979,441102,211236,229866,4299,2186,2113,-,-,2.54,53205
2017,강남구,231612,561052,268941,292111,556164,266442,289722,4888,2499,2389,-,-,2.4,65060
2017,송파구,264628,671173,326407,344766,664496,323147,341349,6677,3260,3417,-,-,2.51,76582
2017,강동구,177407,440359,218699,221660,436223,216777,219446,4136,1922,2214,-,-,2.46,56161
2018,합계,4263868,10049607,4910849,5138758,9765623,4773899,4991724,283984,136950,147034,-,-,2.29,1416131
2018,종로구,73735,163026,79156,83870,153065,74825,78240,9961,4331,5630,-,-,2.08,26742
2018,중구,61502,135633,66674,68959,125725,61947,63778,9908,4727,5181,-,-,2.04,22005
2018,용산구,108974,245090,119766,125324,228999,110640,118359,16091,9126,6965,-,-,2.1,37640
2018,성동구,137209,316463,155091,161372,308221,151359,156862,8242,3732,4510,-,-,2.25,42767
2018,광진구,162606,371063,179527,191536,355559,172794,182765,15504,6733,8771,-,-,2.19,45619
2018,동대문구,161820,364338,179774,184564,348052,173567,174485,16286,6207,10079,-,-,2.15,57165
2018,중랑구,180511,408147,202448,205699,403209,200419,202790,4938,2029,2909,-,-,2.23,61830
2018,성북구,186601,447687,216495,231192,435868,211904,223964,11819,4591,7228,-,-,2.34,67782
2018,강북구,143395,322915,157522,165393,319164,156071,163093,3751,1451,2300,-,-,2.23,58196
2018,도봉구,138087,341649,167043,174606,339413,166160,173253,2236,883,1353,-,-,2.46,55964
2018,노원구,217655,548160,265870,282290,543752,263919,279833,4408,1951,2457,-,-,2.5,77096
2018,은평구,205001,487666,235600,252066,483197,233702,249495,4469,1898,2571,-,-,2.36,77420
2018,서대문구,138549,323080,153816,169264,310313,149569,160744,12767,4247,8520,-,-,2.24,50456
2018,마포구,172505,386359,182573,203786,375077,178240,196837,11282,4333,6949,-,-,2.17,50833
2018,양천구,176498,468145,230457,237688,464185,228634,235551,3960,1823,2137,-,-,2.63,58045
2018,강서구,258503,603611,293289,310322,596949,290079,306870,6662,3210,3452,-,-,2.31,79660
2018,구로구,172457,438486,219949,218537,404497,200417,204080,33989,19532,14457,-,-,2.35,61801
2018,금천구,107971,254021,130398,123623,233917,118915,115002,20104,11483,8621,-,-,2.17,35739
2018,영등포구,171085,403600,203319,200281,367778,183224,184554,35822,20095,15727,-,-,2.15,55673
2018,동작구,177176,409385,198458,210927,396203,192533,203670,13182,5925,7257,-,-,2.24,59479
2018,관악구,262222,520040,260742,259298,501957,252160,249797,18083,8582,9501,-,-,1.91,72249
2018,서초구,172918,438163,209977,228186,433951,207868,226083,4212,2109,2103,-,-,2.51,54751
2018,강남구,228775,547453,262203,285250,542364,259611,282753,5089,2592,2497,-,-,2.37,67085
2018,송파구,270866,673507,326849,346658,666635,323526,343109,6872,3323,3549,-,-,2.46,81364
2018,강동구,177247,431920,213853,218067,427573,211816,215757,4347,2037,2310,-,-,2.41,58770
2019,합계,4327605,10010983,4877725,5133258,9729107,4744059,4985048,281876,133666,148210,-,-,2.25,1485272
2019,종로구,73947,161869,78215,83654,151290,73746,77544,10579,4469,6110,-,-,2.05,27519
2019,중구,62739,136488,66823,69665,126171,61910,64261,10317,4913,5404,-,-,2.01,23275
2019,용산구,110126,245185,119599,125586,228670,110356,118314,16515,9243,7272,-,-,2.08,38791
2019,성동구,135838,308979,150861,158118,300889,147273,153616,8090,3588,4502,-,-,2.22,43947
2019,광진구,164428,366972,176917,190055,351350,170262,181088,15622,6655,8967,-,-,2.14,47902
2019,동대문구,164191,363023,178490,184533,346194,172113,174081,16829,6377,10452,-,-,2.11,59350
2019,중랑구,181579,402024,199006,203018,397015,196959,200056,5009,2047,2962,-,-,2.19,65164
2019,성북구,192592,454744,219099,235645,442650,214437,228213,12094,4662,7432,-,-,2.3,70850
2019,강북구,144277,317695,154638,163057,313954,153235,160719,3741,1403,2338,-,-,2.18,60577
2019,도봉구,138508,335631,163961,171670,333362,163051,170311,2269,910,1359,-,-,2.41,58714
2019,노원구,216966,537303,259810,277493,532905,257923,274982,4398,1887,2511,-,-,2.46,80923
2019,은평구,207681,484546,233360,251186,480032,231528,248504,4514,1832,2682,-,-,2.31,80738
2019,서대문구,140157,323171,153215,169956,309397,148663,160734,13774,4552,9222,-,-,2.21,52074
2019,마포구,175023,385925,181303,204622,374035,176891,197144,11890,4412,7478,-,-,2.14,52429
2019,양천구,177256,462285,227019,235266,458165,225186,232979,4120,1833,2287,-,-,2.58,61264
2019,강서구,262708,598273,289691,308582,591796,286563,305233,6477,3128,3349,-,-,2.25,84077
2019,구로구,176568,439371,219602,219769,406664,200987,205677,32707,18615,14092,-,-,2.3,65779
2019,금천구,110622,251820,128954,122866,232810,118209,114601,19010,10745,8265,-,-,2.1,37660
2019,영등포구,174806,400986,200986,200000,367678,182438,185240,33308,18548,14760,-,-,2.1,57872
2019,동작구,180753,408912,197706,211206,395963,191976,203987,12949,5730,7219,-,-,2.19,62226
2019,관악구,268559,517334,259194,258140,500094,251009,249085,17240,8185,9055,-,-,1.86,75194
2019,서초구,173199,435107,208181,226926,430826,206039,224787,4281,2142,2139,-,-,2.49,57136
2019,강남구,232981,550209,263345,286864,545169,260806,284363,5040,2539,2501,-,-,2.34,71025
2019,송파구,278711,682741,330412,352329,675961,327164,348797,6780,3248,3532,-,-,2.43,87334
2019,강동구,183390,440390,217338,223052,436067,215335,220732,4323,2003,2320,-,-,2.38,63452
