,기관명,총인구,한국인,외국인,고령자
62,성북구,490639,481857,8782,58142
63,강북구,346493,343157,3336,46222
64,도봉구,364454,362270,2184,42267
65,노원구,600829,597189,3640,61218
66,은평구,505902,501480,4422,60776
67,서대문구,324733,315113,9620,42088
68,마포구,393576,384644,8932,44283
69,양천구,500533,495911,4622,43514
70,강서구,573794,567431,6363,55821
71,구로구,454478,427520,26958,45252
72,금천구,260734,243288,17446,26848
73,영등포구,426876,391408,35468,46237
74,동작구,416268,405491,10777,47185
75,관악구,540520,523029,17491,56620
76,서초구,439998,435044,4954,41763
77,강남구,569997,564197,5800,50348
78,송파구,680150,673115,7035,58490
79,강동구,492728,487905,4823,44941
80,합계,10388055,10143645,244410,1167177
81,종로구,167867,160070,7797,23997
82,중구,137990,130465,7525,19346
83,용산구,251925,239740,12185,34017
84,성동구,306571,299337,7234,35421
85,광진구,381439,368927,12512,37623
86,동대문구,376445,364273,12172,49097
87,중랑구,421237,416798,4439,48998
88,성북구,485347,476589,8758,60499
89,강북구,341921,338707,3214,48547
90,도봉구,360609,358582,2027,44469
91,노원구,594027,590479,3548,63810
92,은평구,508111,503660,4451,64328
93,서대문구,324067,314110,9957,43850
94,마포구,391098,381856,9242,45758
95,양천구,496934,492528,4406,46026
96,강서구,575236,569070,6166,59530
97,구로구,452168,424964,27204,48027
98,금천구,258254,241020,17234,28310
99,영등포구,421577,386471,35106,48065
100,동작구,421487,410815,10672,50062
101,관악구,535128,518028,17100,59705
102,서초구,446541,441763,4778,44674
103,강남구,569152,563599,5553,53461
104,송파구,674955,668415,6540,61745
105,강동구,487969,483379,4590,47812
